name,description,status,assignee,start,end,Estimate,priority
"Paso a ambiente de pruebas
",,Not Started,,8/11/2026,8/11/2026,,
Pruebas por el funcional,,Not Started,,8/12/2026,8/14/2026,,High
"Mes 7 y 8: Paso Producción, estabilización del sistema y documentación",,,,8/17/2026,10/31/2026,,
Corrección de Observaciones,,Not Started,,8/17/2026,8/19/2026,,
Pruebas fase 2,,Not Started,,8/20/2026,8/21/2026,,
Aprobación de paso a producción,,Not Started,,8/22/2026,8/24/2026,,
Paso a ambiente de producón,,Not Started,,8/25/2026,8/26/2026,,
Asegurar estabilidad y generar documentación técnica,,Not Started,,8/26/2026,10/31/2026,,
Seguimiento de funcionales,,Not Started,,8/26/2026,10/31/2026,,
Soporte técnico,,Not Started,,8/26/2026,10/31/2026,,
Elaboración de manuales e instructivos técnicos,,,,8/26/2026,10/31/2026,,
